   Update      Virtual      Symbol Name      Decimal   

              A000_D110  ADCReadings                   
                A000_DDE4  [821]                      366
                A000_DDE8  [822]                      369
                A000_DDEC  [823]                      368
                A000_DDF0  [824]                      369
                A000_DDF4  [825]                      369
                A000_DDF8  [826]                      364
                A000_DDFC  [827]                      369
                A000_DE00  [828]                      371
                A000_DE04  [829]                      369
                A000_DE08  [830]                      369
                A000_DE0C  [831]                      368
                A000_DE10  [832]                      369
                A000_DE14  [833]                      369
                A000_DE18  [834]                      369
                A000_DE1C  [835]                      370
                A000_DE20  [836]                      364
                A000_DE24  [837]                      369
                A000_DE28  [838]                      369
                A000_DE2C  [839]                      366
                A000_DE30  [840]                      368
                A000_DE34  [841]                      362
                A000_DE38  [842]                      367
                A000_DE3C  [843]                      366
                A000_DE40  [844]                      366
                A000_DE44  [845]                      367
                A000_DE48  [846]                      361
                A000_DE4C  [847]                      366
                A000_DE50  [848]                      367
                A000_DE54  [849]                      363
                A000_DE58  [850]                      365
                A000_DE5C  [851]                      362
                A000_DE60  [852]                      365
                A000_DE64  [853]                      364
                A000_DE68  [854]                      364
                A000_DE6C  [855]                      365
                A000_DE70  [856]                      360
                A000_DE74  [857]                      364
                A000_DE78  [858]                      365
                A000_DE7C  [859]                      362
                A000_DE80  [860]                      365
                A000_DE84  [861]                      363
                A000_DE88  [862]                      365
                A000_DE8C  [863]                      365
                A000_DE90  [864]                      364
                A000_DE94  [865]                      365
                A000_DE98  [866]                      361
                A000_DE9C  [867]                      365
                A000_DEA0  [868]                      367
                A000_DEA4  [869]                      362
                A000_DEA8  [870]                      365
                A000_DEAC  [871]                      364
                A000_DEB0  [872]                      365
                A000_DEB4  [873]                      364
                A000_DEB8  [874]                      364
                A000_DEBC  [875]                      366
                A000_DEC0  [876]                      361
                A000_DEC4  [877]                      364
                A000_DEC8  [878]                      365
                A000_DECC  [879]                      361
                A000_DED0  [880]                      365
                A000_DED4  [881]                      363
                A000_DED8  [882]                      364
                A000_DEDC  [883]                      364
                A000_DEE0  [884]                      363
                A000_DEE4  [885]                      365
                A000_DEE8  [886]                      361
                A000_DEEC  [887]                      364
                A000_DEF0  [888]                      364
                A000_DEF4  [889]                      361
                A000_DEF8  [890]                      365
                A000_DEFC  [891]                      363
                A000_DF00  [892]                      364
                A000_DF04  [893]                      364
                A000_DF08  [894]                      362
                A000_DF0C  [895]                      365
                A000_DF10  [896]                      360
                A000_DF14  [897]                      363
                A000_DF18  [898]                      365
                A000_DF1C  [899]                      360
                A000_DF20  [900]                      364
                A000_DF24  [901]                      363
                A000_DF28  [902]                      362
                A000_DF2C  [903]                      363
                A000_DF30  [904]                      362
                A000_DF34  [905]                      365
                A000_DF38  [906]                      361
                A000_DF3C  [907]                      362
                A000_DF40  [908]                      363
                A000_DF44  [909]                      359
